Acquisition date,year,Google company,Business,Category,Country list,Price,Used as or integrated with
"May 2, 2016",2016,Synergyse,Interactive tutorials,Communication,CAN,,Google Docs
"June 22, 2016",2016,Webpass,Internet service provider,Misc,USA,,Google Fiber
"July 6, 2016",2016,Moodstocks,Image recognition,AI,FRA,,Google Photos
"July 8, 2016",2016,Anvato,Cloud-based video services,Cloud,USA,,Google Cloud Platform
"July 12, 2016",2016,Kifi,Link management,Mobile,USA,,Spaces (app)
"July 27, 2016",2016,LaunchKit,Mobile tool maker,Mobile,USA,,Android
"August 8, 2016",2016,Orbitera,Cloud software,Cloud,USA,"$100,000,000",Google Cloud Platform
"September 8, 2016",2016,Apigee,API management and predictive analytics,Cloud,USA,"$625,000,000",Google Cloud Platform
"September 15, 2016",2016,Urban Engines,Location-based analytics,Maps,USA,-,Google Maps
"September 19, 2016",2016,API.AI,Natural language processing,AI,USA,-,-
"October 11, 2016",2016,FameBit,Branded content,Youtube,-,-,YouTube
"October 24, 2016",2016,Eyefluence,"Eye tracking, virtual reality",AI,-,-,-
"December 13, 2016",2016,Cronologics,Smartwatches,Mobile,USA,-,Android Wear
"January 5, 2017",2017,Limes Audio,Voice communication,Communication,SWE,-,"Google Duo, Google Hangouts"
"January 19, 2017",2017,Fabric,Crash Analytics,AI,USA,-,"Google Developer Product Group, Firebase"
"March 8, 2017",2017,Kaggle,Data science,AI,USA,,Google Cloud Platform
